Item Type,Order Type,PO No,Curr,PO Stat Code,Supplier,OrderNo,Buyer,Item Number,Item Description,WH,POCreateDate,PO Req Del Date,PO Conf Del Date,PO Rcvd Date,PO Value,Qty,,Create to Req Days,Req to Conf Days,Conf to Recvd Days,Req to Recvd Days
20 - Parts Item,AIR,3009499,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4362707M1,PINION,AML,22/09/2020,4/11/2020,2/11/2020,,357,2,,31,-2,0,0
20 - Parts Item,AIR,3009506,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,3786577M3,SPACER,AML,23/09/2020,8/10/2020,5/10/2020,,424,1,,11,-3,0,0
20 - Parts Item,AIR,3009506,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,ACV0078670,SLIDE RING,AML,23/09/2020,7/10/2020,5/10/2020,,15,1,,10,-2,0,0
20 - Parts Item,AIR,3009514,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,VJD0108,WASHER,AML,24/09/2020,4/11/2020,,,1,17,,29,0,0,0
20 - Parts Item,AIR,3009514,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,ACW1211330,RIGHT HAND SHIELD,AML,24/09/2020,8/10/2020,9/10/2020,,243,1,,10,1,0,0
20 - Parts Item,AIR,3009514,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,V30997210,ADJUSTING NUT,AML,24/09/2020,8/10/2020,5/10/2020,,7,1,,10,-3,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,ACP0320290,LEVER,AML,25/09/2020,4/11/2020,,,0,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL5002204,SCREWM6S M20X130,AML,25/09/2020,4/11/2020,,,24,4,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL5002930,SCREW M6S M20X150,AML,25/09/2020,4/11/2020,,,31,4,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL5002934,SCREW M6S 20X55 10.9,AML,25/09/2020,4/11/2020,,,56,6,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL5028122,ADAPTOR ½”,AML,25/09/2020,4/11/2020,,,17,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL5102151,HARNESS,AML,25/09/2020,4/11/2020,,,45,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL5102224,HARNESS,AML,25/09/2020,4/11/2020,,,47,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL9031813,HOSE ½” X 1500,AML,25/09/2020,4/11/2020,,,67,1,,28,0,0,0
